genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
brutal death metal,0.306,0.973,1,-6.021,1,0.0649,0.000522,0.555,0.308,0.308,109.83,34M02dzGv4LoiHoE4stmp9,282080,4
dark rock,0.298,0.967,1,-5.698,1,0.138,0.00042,0.862,0.111,0.0464,130.479,5C9zTG0EwrP78IONKkguN1,334680,4
death metal,0.123,0.973,8,-3.883,1,0.0961,3.58e-06,0.834,0.205,0.418,79.84,0r1j27BGS9NVBr4Y3nWCAx,156640,4
death metal,0.47,0.965,1,-6.901,1,0.102,0.01,0.035,0.133,0.116,120.005,0Yt282lihtpuacC6GFjCEp,283081,4
grim death metal,0.345,0.975,1,-3.573,0,0.251,6.69e-05,0.691,0.312,0.164,115.231,28kizMSvL3DcCGINWSOUjq,233693,4
australian metal,0.286,0.914,7,-3.929,1,0.0905,4.94e-05,0.000255,0.0838,0.485,140.042,5VToMJACRoeT0YZNs5CYyp,197853,4
american melodeath,0.326,0.889,7,-13.71,1,0.0543,5.33e-06,0.663,0.245,0.396,108.717,7EN6vAfblVr4EBjpoM8t1n,146240,4
brutal death metal,0.156,0.985,1,-3.489,1,0.0975,0.000522,0.848,0.295,0.0385,85.208,2arDYVJSI90aKC1QBnGE96,302960,3
black metal,0.256,0.975,8,-7.436,1,0.121,5.08e-06,0.693,0.151,0.171,114.367,4FNu2PuLy904s9dhj2RZ8L,230000,4
black death,0.529,0.9,4,-4.288,0,0.0491,4.2e-06,0.000137,0.163,0.35,85.01,7KiitT3t7X59EiiiKs4Emi,216933,4
blackened deathcore,0.398,0.939,9,-2.865,0,0.0648,0.00591,0.000881,0.357,0.235,92.027,5hheGdf1cb4rK0FNiedCfK,342821,4
unknown,0.258,0.913,5,-10.903,0,0.0763,1.47e-05,0.871,0.105,0.454,105.038,1otviBOlT3Ball9Qm0TWDp,237827,4
black metal,0.245,0.861,2,-8.728,1,0.0415,0.000256,0.871,0.216,0.483,91.056,2fSYadDsbWMtIVqX7flKIc,212840,4
